vine_id,aic_vine,aic_dissmann,aic_fixed_matrix_clayton,aic_ground_truth
61,-3481.106311,-3404.467436842119,-3817.853041329452,-3886.0734065377255
61,-3428.249828,-3155.838985548487,-3761.270662176842,-3790.827622118551
62,-3643.414178,-3482.0148508167695,-3964.0255991754284,-3984.9656504189675
62,-3709.889776,-3503.6906717226734,-4026.417951316712,-4086.0393988282794
61,-3465.407477,-3313.1544272445167,-3849.8192044183074,-3936.0831715224717
61,-3609.091328,-3349.605485148623,-3849.398738717338,-4039.8143662657467
61,-3589.943860,-3480.910241444064,-3936.3684133733427,-4052.987961286048
60,-3661.629975,-3342.742511826499,-3951.836331940862,-4035.3992883451683
60,-3489.064211,-3259.332864082481,-3798.043339507211,-3853.760722039668
61,-3483.118197,-3253.6482551255995,-3794.7548063244926,-3851.7142972299894
62,-3610.862358,-3370.474137606566,-3968.3244596375303,-4089.700958256236
60,-3855.456505,-3760.7254499052137,-4295.842826147459,-4326.235571125689
60,-3472.588466,-3332.1674653872146,-3906.1941124434197,-3921.3915554194036
60,-3503.634270,-3326.6636316942286,-3915.5708766007715,-4011.2917147638677
61,-3558.648439,-3335.1820659083082,-3931.6463521812907,-3984.048851388153
61,-3428.938519,-3209.6977888429333,-3782.5007458611476,-3864.605990020406
61,-3692.380249,-3479.9350502474763,-4021.101372113967,-4047.3770960672377
61,-3471.920397,-3327.3982208284056,-3837.5217079971667,-3918.2813545966137
61,-3713.815600,-3443.9306436805045,-4000.195422559939,-4006.4547697737994
61,-3789.294693,-3460.794638816347,-4145.4699429198245,-4155.4950563420225
77,-3476.277335,-3406.4771354618215,-3842.9225264409806,-3931.951713662098
61,-3789.026130,-3520.1230453173202,-4134.432449827793,-4128.990052640818
60,-3481.663444,-3258.1405943946475,-3767.5553882203103,-3832.650940575003
60,-3637.954913,-3401.3732123030395,-3881.3716245381593,-4106.40213977988
61,-3513.496672,-3443.8025396262756,-3884.9242122859787,-3932.9760550955016
60,-3508.257265,-3075.6913529207095,-3778.0976890587135,-3850.40424908134
61,-3698.162588,-3411.979412847219,-4053.663973384604,-4067.501760181536
61,-3246.479555,-3248.427091739956,-3787.708351092358,-3795.1930082491635
61,-3570.824197,-3306.0392627142323,-3991.2492515687236,-3982.8962882437045
62,-3568.879846,-3359.306538521327,-3976.0570950348783,-4021.626387145023
60,-3606.546949,-3415.0464532015335,-4010.7570492203154,-4073.267764033018
63,-3493.925427,-3378.70324838701,-3959.553825382702,-4024.918371512423
