vine_id,aic_vine,aic_dissmann,aic_fixed_matrix_clayton,aic_ground_truth
10800,-5566.488745,-4378.162839513977,-5550.7039333495395,-6135.248486074928
10800,-5252.195797,-4248.508324676758,-5245.313224825627,-5921.012568300575
10800,-5418.283844,-4414.5771959531385,-5402.8389641646045,-5907.900391551926
10818,-5672.928119,-4510.7270849040115,-5805.126403684124,-6231.479649663573
10800,-5161.449359,-4155.315611502392,-5168.571104984082,-5736.302896892936
887,-5032.810469,-4070.1143350304574,-5453.557237773116,-5888.075588513117
10800,-4836.194937,-3802.403417028985,-4864.204302251873,-5592.626649176764
10800,-5626.219604,-4119.092887930636,-5671.207705813257,-5934.717700999299
10820,-5653.921691,-4622.691346454723,-5600.811155760878,-6323.7708680512005
10800,-5312.982588,-4221.70889437263,-5318.479277513846,-5844.218636289805
10800,-5321.015832,-4215.980150152028,-5415.258227777634,-6021.966338624862
10800,-5729.886368,-4302.399343097481,-5689.4519859891225,-6073.038313540099
10800,-5628.416721,-4311.958441386809,-5593.652178627439,-6003.240829086454
10800,-5728.488241,-4329.293638813568,-5757.060452873847,-6132.844446900294
10800,-5465.492199,-4162.07654689978,-5541.010900912095,-5829.454105770166
10800,-5739.023025,-4589.804466200989,-5837.418135652269,-6154.019325512718
10800,-5483.353277,-4239.972553920171,-5494.079283934195,-6065.2898104785
10800,-5351.040652,-4104.0134875257345,-5297.548216569993,-5823.117404338339
10800,-5558.754260,-4264.71166768258,-5529.644956370116,-5951.0354267104085
10800,-5210.931322,-4077.1643892173943,-5207.5960742151465,-5755.8465565074475
10800,-5478.770107,-4253.022726350352,-5479.478746362846,-6001.854329892455
10800,-5421.325354,-4256.489732434029,-5420.007414361237,-6039.895045775427
10800,-5531.093562,-4351.049499855181,-5487.983689820618,-6084.283241847521
10800,-5341.095675,-4104.454514942978,-5286.110460802119,-5754.936621987151
10800,-5512.368723,-4317.265403054423,-5526.513506733433,-5998.275132461055
10800,-5553.813718,-4409.070029691731,-5501.891429382308,-6185.9583373499245
10800,-5721.314770,-4384.798934369421,-5891.497472057876,-6081.945358043968
10800,-5470.228489,-4257.480021484123,-5501.70954401232,-6004.449210821272
10800,-5570.168742,-4185.37848576041,-5666.1465623699005,-6064.406119187615
10800,-5582.733597,-4257.077965722651,-5577.403389589289,-5977.612961113933
10800,-5538.687051,-4266.606840224959,-5534.522073583854,-5874.127092512073
10800,-5346.999141,-4079.5949618542772,-5449.166744759288,-5936.340447597251
10800,-5283.429662,-4254.132951627507,-5261.282398492278,-5940.684070905911
10800,-5822.941279,-4327.222395722594,-5901.491933926179,-6026.511418025547
10800,-5858.117611,-4538.05120727341,-5859.94148228968,-6196.1628781339
10800,-5580.860645,-4237.751919592952,-5742.101560231228,-5952.712070733207
10800,-5719.585167,-4507.575543262296,-5701.028118110434,-6230.283144066787
10800,-5514.682720,-4415.871944256177,-5606.022971517238,-5953.508808834686
10800,-5414.568804,-4436.427123417942,-5348.800170327579,-6094.25844194583
10800,-5790.437967,-4489.07269271998,-5873.769967571052,-6154.493152604238
10800,-5328.642145,-4130.691027962015,-5221.843849542058,-5740.111319299258
10800,-5459.997728,-4212.921504054408,-5546.473241104632,-5945.268913073318
10800,-5382.722584,-4190.168752084914,-5456.4619153432795,-5905.165875371014
10800,-5501.040385,-4358.3998453521535,-5614.688614051874,-5997.895362883815
10800,-5885.068360,-4447.94258579726,-5967.574363293733,-6210.035859897525
10800,-5370.272604,-4230.257023949628,-5457.215543755126,-5902.116672282829
10800,-5729.623172,-4321.816376231171,-5719.0352783917315,-6133.167153326375
10800,-5188.448353,-4102.354699534478,-5171.053498762907,-5781.190200494533
10800,-5717.491937,-4222.710634875383,-5720.591294951673,-6121.026985957211
10800,-5556.911111,-4221.933448333524,-5555.3307494389865,-5948.1172988328635
10800,-5636.719887,-4386.040740601806,-5620.18119405143,-5994.899968459196
10800,-5407.107150,-4293.534444470232,-5376.312180848518,-5959.150943654789
10800,-5535.100838,-4251.163560922466,-5564.045900138433,-6048.796227633408
10800,-5233.063704,-4281.073452087291,-5236.3141919485915,-5956.499728579719
10800,-5508.564443,-4374.846040154738,-5586.81336154021,-6018.749654973435
10800,-5698.457182,-4323.128836819208,-5734.367100549772,-6005.751104459709
10800,-5087.588786,-4116.978285337383,-5078.23956996476,-6000.260011257281
10800,-5562.747751,-4432.673946435274,-5545.470555006709,-6116.0201070054645
10800,-5806.840269,-4407.745783522063,-5858.296992495147,-6055.403660032871
10800,-5481.478133,-4266.867400159243,-5516.313095092434,-6037.899688018075
10800,-5391.344903,-4508.590092304098,-5370.728431597278,-6024.482530565508
10800,-5484.087602,-4185.52926902651,-5593.577036822299,-5954.66671078657
10800,-5178.272438,-4257.197446152003,-5174.016790586527,-6081.3162739537265
10800,-5653.688583,-4385.040573307704,-5665.195467397649,-6053.23723286561
10800,-5782.110659,-4514.09815241308,-5796.70622914921,-6174.17660908816
10800,-5586.934354,-4342.407541473746,-5660.405759105591,-6040.426794277745
10800,-5381.844565,-4053.3650054213385,-5350.8954746608515,-5817.303658229555
10800,-5663.108436,-4282.409518946851,-5643.0266594554705,-6011.943493983172
10800,-5253.140395,-4279.3200586085395,-5260.157039099081,-6120.639816683253
8128,-5342.711189,-4442.125533253695,-5282.936636373112,-5967.750586440661
10800,-5264.859275,-4173.50004495498,-5309.414862321699,-5701.960779825985
10800,-5643.935594,-4338.275718819452,-5808.366552538667,-6217.687994936383
10800,-5462.948551,-4268.0670606980675,-5388.037277069414,-6153.628902588049
10800,-5660.416609,-4283.0372547825755,-5737.582411323713,-6122.512741061028
10800,-5248.274016,-4300.685245911709,-5227.151313874369,-5925.315971875724
10800,-5215.135039,-4033.161954083531,-5340.575004751954,-5816.545042151241
10800,-5243.593257,-4108.042530118307,-5188.768432777397,-5795.236694783685
10800,-5546.721106,-4410.876716271986,-5577.7390615755785,-6160.606615254284
10800,-5268.467942,-4237.830426720861,-5247.643266280972,-5892.023614764981
19998,-5287.215341,-4501.807772704988,-5178.7595149289045,-5953.117365082955
10800,-5499.135866,-4535.714978798953,-5513.343492382478,-6190.820508060933
10800,-5867.823047,-4532.891745117665,-5857.018043087106,-6172.295624439009
10800,-5500.096497,-4305.715543453299,-5545.300156679773,-6026.792802253936
10800,-5241.945350,-4108.2763252971,-5223.872346377167,-5811.648770390095
10800,-5199.886262,-4209.240116920466,-5402.5726472675715,-5979.235196204525
10800,-5683.262421,-4478.347827027138,-5848.984785701452,-6160.650863508908
10800,-5294.986277,-4187.260562555033,-5305.9508628143185,-5903.152328853512
10800,-5439.578406,-4379.117176383611,-5381.455916791522,-6047.205617634449
10829,-5432.106928,-4553.65112609658,-5764.049405662342,-6294.242543562714
10809,-4895.615303,-4263.59856749936,-4931.6950766793025,-5788.038387478043
10800,-5360.183990,-4385.510887434172,-5310.240488733204,-6054.534142593748
10818,-5277.977749,-4449.689428545702,-5322.888812984412,-6003.088914798613
10800,-5623.784048,-4482.82113911894,-5752.865438987263,-6098.30764189646
10800,-5790.432720,-4459.181019635017,-5842.799271239041,-6169.282154537246
10800,-5406.328145,-4446.445565770032,-5420.146931846946,-6002.988770274815
10800,-4996.207315,-3978.819237881796,-4980.388166966454,-5637.472547062445
10800,-5526.716357,-4188.072956400901,-5479.414214243805,-6063.310661874655
10800,-5543.137977,-4397.064308880379,-5601.816521061424,-6166.332327931423
10800,-5445.063890,-4117.358493623199,-5422.831003565087,-5795.856135440053
10800,-5625.387144,-4349.1184288907325,-5622.875996832342,-6048.326501652812
