t_local,ship_inbound,ship_length,ship_width,ship_draft,ship_sp_abs,ship_sp_rel,ship_acc,ship_blockage,ship_Fr,ship_dist_inst,ship_dist_shore,track_raw_dx,tidal_stage,tidal_current_wrt_ship,channel_top_width,channel_max_depth,channel_mean_depth,channel_cs,depression,H,peak_vel_withship,peak_vel_agship,peak_vel_onshore,peak_vel_offshore,peak_Efmag_long,peak_Efmag_cross,peak_Efmag_total,wave_energy,track_raw_nMC,track_raw_nUSACE
10/06/2017 14:25:31,1,145,24,7.67,5,5.96,0.08,0.0332,0.487,265,303,1027,-0.76,-0.96,608,15.27,9.2,5596,9,16,32,4,14,13,0.76,0.24,0.78,0.05,3,0
10/06/2017 15:27:17,1,294,32,11.15,5.87,6.36,0.302,0.0674,0.528,293,323,54,-1.22,-0.49,595,14.81,8.94,5323,52,86,95,102,58,32,10.36,3.52,10.37,0.7,3,57
10/06/2017 22:44:45,1,180,32,8.2,6.52,7.22,0.041,0.0387,0.556,299,378,61,1.17,-0.7,667,17.2,10.22,6830,17,35,21,35,9,14,4.3,0.93,4.35,0.14,2,56
10/07/2017 03:10:52,0,210,30,8.84,6.03,5.53,0.198,0.0494,0.457,295,327,45,-1.11,0.5,596,14.92,9.02,5388,16,22,21,27,9,9,0.73,0.34,0.74,0.04,5,77
10/07/2017 03:35:27,1,325,43,10.9,5.79,6.17,0.024,0.0886,0.513,271,300,51,-1.31,-0.38,592,14.71,8.89,5266,78,113,90,131,104,56,14.78,8.18,15.45,1.13,5,61
10/07/2017 06:41:38,1,300,40,11.76,7.62,6.74,0.072,0.0792,0.541,269,319,799,-0.2,0.88,630,15.82,9.42,5941,63,100,67,107,57,53,13.34,6.77,13.44,1.07,4,0
10/07/2017 12:07:17,0,294,32,10.39,5.76,4.77,-0.257,0.0509,0.372,295,371,46,0.78,0.99,659,16.81,9.96,6573,15,35,17,37,14,22,4.72,0.55,4.72,0.15,6,73
10/07/2017 18:52:59,0,222,30,8.66,6.21,6.94,0.053,0.0447,0.561,283,328,784,-0.41,-0.73,618,15.62,9.4,5813,34,46,9,55,25,28,9.5,2.23,9.58,0.35,4,0
10/07/2017 19:30:49,1,334,43,10.85,6.81,5.96,-0.038,0.0763,0.475,308,365,576,0.02,0.85,637,16.05,9.53,6081,48,74,49,79,25,30,6.74,3.3,6.75,0.63,5,0
10/07/2017 21:08:54,0,180,32,7.8,5.73,6.54,-0.063,0.0378,0.508,288,366,56,0.9,-0.81,662,16.93,10.04,6652,18,31,9,30,11,11,3.96,0.92,4.02,0.13,7,55
10/07/2017 23:53:58,0,300,40,11.76,7.25,6.6,0.276,0.0708,0.512,285,363,42,0.88,0.65,661,16.91,10.03,6641,50,82,28,80,37,41,9.59,5.91,11.21,0.9,2,96
10/08/2017 02:10:38,0,145,24,6.65,7.87,6.52,-0.006,0.0273,0.524,295,343,47,-0.27,1.35,627,15.76,9.39,5900,12,18,6,23,12,12,0.85,0.46,0.86,0.04,5,68
10/08/2017 09:09:51,1,337,48,11.89,6.61,5.63,-0.035,0.0864,0.437,299,377,68,0.87,0.98,660,16.89,10.03,6631,43,68,45,73,20,27,8.66,2.19,8.85,0.6,5,42
10/08/2017 09:52:58,1,279,40,12.37,6.85,5.94,0.092,0.0735,0.458,288,367,823,1.1,0.91,663,17.13,10.22,6785,37,65,52,71,20,27,9.35,2.96,9.41,0.63,4,0
10/08/2017 14:52:09,0,300,43,10.39,5.17,4.2,-0.021,0.075,0.338,316,366,51,-0.22,0.96,629,15.8,9.41,5927,12,19,7,28,11,7,0.85,0.12,0.85,0.06,5,61
10/08/2017 17:54:07,0,334,43,11.66,5.61,5.81,0.26,0.0954,0.485,306,334,28,-1.37,-0.2,591,14.65,8.84,5230,36,52,32,92,20,21,4.45,1.32,4.51,0.26,6,138
10/08/2017 19:49:49,0,325,43,10.69,5.95,6.69,-0.024,0.0778,0.538,295,342,65,-0.29,-0.74,627,15.74,9.38,5886,113,163,78,182,54,62,42.08,9.9,42.75,3.12,3,46
10/08/2017 20:24:23,1,328,45,12.09,6.04,5.14,0.099,0.0892,0.409,270,328,34,0.09,0.9,639,16.11,9.58,6124,49,74,48,94,26,28,9.99,1.99,10.01,0.7,5,104
10/08/2017 20:54:43,1,294,40,12.34,6.51,5.74,0.041,0.0781,0.452,294,359,66,0.4,0.77,647,16.43,9.77,6325,40,60,28,62,15,20,4.99,1.38,5,0.43,4,49
10/09/2017 00:13:15,0,279,40,12.29,5.98,5.49,0.019,0.0738,0.425,271,349,618,0.99,0.49,662,17.02,10.13,6714,37,57,13,69,28,21,6.82,2.09,6.82,0.61,5,0
10/09/2017 10:52:57,1,367,43,12.57,6.34,5.51,-0.169,0.0795,0.425,279,358,43,1.11,0.83,664,17.14,10.21,6792,49,81,58,82,23,28,14.43,3.34,14.66,0.79,7,80
10/09/2017 15:23:46,1,243,32,9.83,5.56,6.8,-0.019,0.0526,0.544,287,341,54,-0.08,-1.24,633,15.94,9.49,6017,24,36,24,51,14,15,6.59,1.45,6.74,0.2,8,65
10/10/2017 01:49:12,1,318,43,10.54,5.95,6.63,0.068,0.0698,0.518,282,354,58,0.64,-0.68,655,16.67,9.89,6482,48,75,51,86,41,25,19.12,4.49,19.56,0.71,8,52
10/10/2017 03:26:47,1,260,32,10.82,6.09,7.4,-0.022,0.0583,0.593,297,350,64,-0.13,-1.31,632,15.9,9.45,5985,49,73,50,94,34,26,16.69,3.84,16.99,0.73,8,44
10/10/2017 03:46:08,0,299,40,11.28,6.86,5.62,-0.014,0.0769,0.453,269,316,110,-0.32,1.24,626,15.71,9.36,5869,46,68,19,98,43,34,7.31,3.55,7.78,0.73,7,28
10/10/2017 06:50:49,1,211,32,8.59,6.41,6.24,0.14,0.0533,0.522,266,292,59,-1.44,0.16,588,14.59,8.81,5192,40,69,84,68,32,25,5.54,1.84,5.63,0.36,7,53
10/10/2017 07:06:31,0,243,32,8.66,7.08,7.22,-0.087,0.0533,0.602,267,295,55,-1.37,-0.14,591,14.65,8.84,5231,81,104,43,132,80,58,12.34,5.49,12.96,0.96,7,62
